date,regime
2026-01-07,bull
2026-01-08,bull
2026-01-09,bull
2026-01-12,bull
2026-01-13,bull
2026-01-14,bull
2026-01-15,bull
2026-01-16,bull
2026-01-20,bull
2026-01-21,bull
2026-01-22,bull
2026-01-23,bull
2026-01-26,bull
2026-01-27,bull
2026-01-28,bull
2026-01-29,bull
2026-01-30,bull
2026-02-02,bull
2026-02-03,bull
2026-02-04,bull
2026-02-05,bull
2026-02-06,neutral
2026-02-09,neutral
2026-02-10,neutral
2026-02-11,neutral
2026-02-12,neutral
2026-02-13,neutral
2026-02-17,neutral
2026-02-18,neutral
2026-02-19,neutral
2026-02-20,neutral
2026-02-23,neutral
2026-02-24,neutral
2026-02-25,neutral
2026-02-26,neutral
2026-02-27,neutral
2026-03-02,neutral
2026-03-03,neutral
2026-03-04,neutral
2026-03-05,neutral
2026-03-06,neutral
2026-03-09,neutral
2026-03-10,neutral
2026-03-11,neutral
2026-03-12,neutral
2026-03-13,neutral
2026-03-16,neutral
2026-03-17,neutral
2026-03-18,neutral
2026-03-19,bear
2026-03-20,bear
2026-03-23,bear
2026-03-24,bear
2026-03-25,bear
2026-03-26,bear
2026-03-27,bear
2026-03-30,bear
2026-03-31,bear
2026-04-01,bear
2026-04-02,bear
2026-04-06,bear
2026-04-07,bear
2026-04-08,bear
2026-04-09,bear
2026-04-10,neutral
2026-04-13,neutral
2026-04-14,neutral
2026-04-15,neutral
2026-04-16,neutral
2026-04-17,neutral
2026-04-20,neutral
2026-04-21,neutral
2026-04-22,neutral
2026-04-23,neutral
2026-04-24,neutral
2026-04-27,neutral
2026-04-28,neutral
2026-04-29,neutral
2026-04-30,neutral
2026-05-01,neutral
2026-05-04,neutral
2026-05-05,neutral
2026-05-06,neutral
2026-05-07,neutral
2026-05-08,neutral
2026-05-11,bull
2026-05-12,bull
2026-05-13,bull
2026-05-14,bull
2026-05-15,bull
2026-05-18,bull
2026-05-19,bull
2026-05-20,bull
2026-05-21,bull
2026-05-22,bull
2026-05-26,bull
2026-05-27,bull
2026-05-28,bull
2026-05-29,bull
2026-06-01,bull
2026-06-02,bull
2026-06-03,bull
2026-06-04,bull
2026-06-05,bull
2026-06-08,bull
2026-06-09,bull
2026-06-10,neutral
2026-06-11,neutral
2026-06-12,neutral
2026-06-15,neutral
2026-06-16,neutral
2026-06-17,neutral
2026-06-18,neutral
2026-06-22,neutral
2026-06-23,neutral
2026-06-24,neutral
2026-06-25,neutral
2026-06-26,neutral
2026-06-29,neutral
2026-06-30,neutral
2026-07-01,neutral
2026-07-02,neutral
2026-07-06,neutral
2026-07-07,neutral
2026-07-08,neutral
2026-07-09,neutral
2026-07-10,neutral
2026-07-13,neutral
2026-07-14,bull
2026-07-15,bull
2026-07-16,bull
2026-07-17,bull
2026-07-20,bull
2026-07-21,bull
2026-07-22,bull
